"sample_id"	"PGS000163"	"PGS000164"	"PGS000165"	"PGS000166"	"PGS000167"	"PGS000168"	"PGS000169"	"PGS000170"	"PGS000171"	"PGS000172"	"PGS000173"	"PGS000174"	"PGS000175"	"PGS000176"	"PGS000177"	"PGS000178"	"PGS000179"	"PGS000180"	"PGS000181"	"PGS000182"	"PGS000183"	"PGS000184"	"PGS000185"	"PGS000186"	"PGS000187"	"PGS000188"	"PGS000189"	"PGS000190"	"PGS000191"
"GTEX-13113"	0.4963403	1.0305866	-4.0754622	-3.4127896	-0.2140734	1.8304601	4.3767487	4.7110053	2.5149895	-0.2279419	-0.1798732	2.1041918	2.1831088	1.7253609	1.5192137	0.0415651	1.0680648	-1.2592555	-0.6702906	-1.0946029	0.0648281000000001	3.228365	2.4016883	0.909266	0.9390886	0.9450061	4.5878722	4.8606737	-0.9385493
"GTEX-1313W"	0.156176	0.7625544	-4.2305139	-3.6618316	0.1152982	1.7393979	3.3822872	3.3182441	2.3964956	-0.0211389	0.2296122	3.0198106	1.8258878	2.5883904	1.354511	0.6291352	0.0919149	-0.3861833	0.2559163	-1.0728683	-0.1190503	2.3990404	2.3706637	0.692289	0.5524601	0.7598503	3.9932934	3.9889366	-1.1688444
"GTEX-1314G"	0.3735413	0.8707835	-4.2046378	-3.4670286	-0.1274147	1.355295	4.0820277	4.7749977	3.2510368	-0.1159555	0.1837105	2.8912588	1.6779868	2.755029	0.8550107	0.1606504	0.463405	-0.0317974000000001	0.6129073	-1.2604015	0.03285	2.509436	2.3010564	0.9739303	0.2451964	1.55222	3.9631033	4.4666024	-0.9073829
"GTEX-131XE"	0.373881	0.9269653	-3.5477979	-2.7971224	0.3535263	2.0401113	4.2210064	4.4582148	2.8959952	-0.5186401	-0.1540203	3.1914449	2.1853353	3.0688054	1.5945552	0.8230696	0.8758418	-0.644243	0.0118576000000001	-1.1348679	0.020555	2.87719	2.6085571	0.6527982	0.8091537	0.7366759	4.258982	4.5032538	-0.8554194
"GTEX-131XF"	0.3315364	1.0315516	-3.7076679	-3.1465966	-0.4246074	1.3249373	3.495496	3.7115056	2.4147231	-0.7114784	-0.2513457	2.7583102	2.0388667	2.6010912	1.3674284	0.589956	-0.0248402	-0.7401234	-0.0650996999999999	-1.0575104	0.0802466	2.6390292	1.5258899	0.6823792	0.2566403	1.0651612	3.8275267	4.0056475	-1.1559734
"GTEX-131XG"	0.2828417	0.6419957	-4.4590528	-3.7872067	-0.1007244	1.7118689	4.1981376	4.4666316	3.0748215	-0.00493490000000001	-0.1317153	3.1234171	2.2042408	2.7888335	1.2049937	-0.0936953	0.7625708	-0.2304988	0.4483465	-0.6206015	0.1517908	2.0635341	2.2832447	0.7158232	0.2565773	0.8975048	4.3617274	4.6377679	-0.6949498
"GTEX-131XH"	0.3028007	0.7871259	-3.913881	-3.235328	0.142492	1.7245053	4.1891558	4.328365	2.5640979	0.1202881	-0.00887400000000001	2.4009509	1.7907239	2.4142415	1.6211739	0.3862061	0.6270756	-0.7836546	-0.0673265999999999	-0.876648	-0.1129856	3.1338887	2.6859615	0.9815505	0.7253759	1.0257773	4.3214461	4.1488862	-0.2849271
"GTEX-131XW"	0.0908859	0.8037773	-4.063815	-3.5084573	0.1779321	1.8568442	4.3707088	4.625048	2.9216645	-0.1359906	0.3965741	2.8967528	1.8365146	2.2204689	1.9699424	0.7256862	0.2669252	-0.8057701	0.5010042	-1.0772652	-0.5760889	3.0541399	1.7090861	0.7687219	0.6778999	0.9673586	4.6592103	4.6167271	-0.8314007
"GTEX-131YS"	0.2520259	0.9166463	-4.4669105	-4.0532402	0.1354232	1.8837515	4.274312	4.2831084	2.6657799	-0.4671784	-0.2185353	2.3570245	1.5690089	2.2802395	1.7874623	0.3817235	0.4983903	-0.645435	-0.1918393	-0.8131221	0.1975225	3.0169044	2.1589283	1.4912814	0.9037911	1.0647863	4.3986109	4.5327851	-0.3491758
"GTEX-132AR"	0.1943139	0.7854165	-4.2663737	-3.7791896	0.2132209	1.6561946	4.0794589	4.6601814	3.0889772	-0.2479259	-0.176484	3.2724519	1.9198885	2.8953233	1.4658834	0.4285433	1.1281247	-0.5998023	0.4128142	-0.7442464	0.0558118000000001	2.4426718	2.2314494	0.7006947	0.8047866	0.4914025	4.3791	4.6377227	-0.3643453
